uuid	lineage	genotype	susceptibility
a30e705b-96da-4ad3-9b06-e25c0ba889c5	Beijing_East_Asia		SSSSSSSSRSS
351aa4ff-307a-4b63-996a-0498f0018acc	Beijing_East_Asia		SSSSSSSSSSS
17f6ef0b-69e1-424e-9e8c-e5df43813f6e	European_American		SSSSSSSSSSS
b710875b-8277-495f-a3ea-536e149e7f28	European_American		SSSSSSSSSSS
9f370ad5-00b5-447b-ae7b-b01c59b23306	European_American		SSSSSSSSSSS
a31f71db-46a4-4d2c-8ceb-7f026ecb1a17	European_American		SSSSSSSSSSS
b739a914-1358-40fb-b902-41e8365d1cd1	European_American		SSSSSSSSSSS
845ca67f-7c04-4b50-ad26-cfc2067d961c	European_American		SSSSSSSSSSS
6ecc625a-6a7e-4e1a-80f2-026e9e04aeb8	Beijing_East_Asia		SSSSSSSSSSS
e198ac12-0296-4b53-bd50-056f4cb120b2	European_American		SSSSSSSSSSS
307dedbf-d53f-42b9-b546-a0bdf5e4631d	Beijing_East_Asia		SSSSSSSSSSS
48c960e5-7405-4cc0-8bef-9a5fc1cc43e5	Beijing_East_Asia		SSSSSSSSSSS
00d07c2d-70de-42b3-810e-93641eb79ed4	Beijing_East_Asia		SSSSSSSSSSS
94fdfadc-0fe8-46d1-a537-7a84f82393b3	Beijing_East_Asia		rrSSSSrSSSS
8947a709-8223-4c0b-9acb-e3ba48606c78	Beijing_East_Asia		SSSSSSSSSSS
1f534352-9df1-4966-a504-56d08eff320a	Beijing_East_Asia		SSSSSSSSSSS
dcebf06f-90e8-40ec-b6fa-e111968ac6b7	Beijing_East_Asia		SSSSSSSSSSS
6e4a3074-97e1-4e97-a92a-dec7503e0321	Beijing_East_Asia		SSSSSSSSSSS
b06067a4-43ac-4420-b632-165cb6640f3b	Beijing_East_Asia		SSSSSSSSSSS
d333a96a-bd81-443c-b58b-25da8beb1682	Beijing_East_Asia		SSSSSSSSSSS
de7aaf5b-5568-4460-b904-1f30ad6efed9	European_American		SSSSSSSSSSS
1284bdc0-40a7-4634-9fe8-2946e8a615b7	Beijing_East_Asia		SSSSSSSSSSS
2f139864-339d-4bdb-a3db-0e997890f21e	Beijing_East_Asia		SSSSSSSSSSS
15c5276d-d42f-4a22-a971-d9162f17cbcd	Beijing_East_Asia		SSSSSSSSSSS
eeef8267-53c6-4824-b448-418172cee1cd	Beijing_East_Asia		SSSSSSSSSSS
be5d59ff-a4b9-45ab-8528-268f8c7f4169	Beijing_East_Asia		SSSSSSSSSSS
6869bb7b-13ec-49b6-b2ed-3774c687647f	Beijing_East_Asia		SSSSSSSSSSS
eaa25019-b739-4c7b-bc85-20cfc4e1c1e3	Beijing_East_Asia		SSSSSSSSRSS
c8b6e147-d62f-4953-a37b-623ee5f1eb83	European_American		SSSSSSSSSSS
b31056ed-495a-49d2-88e8-e22a73a2e0e2	Beijing_East_Asia		SSSSSSSSSSS
4272d935-4cee-4538-b975-ea3b21bf8265	European_American		SSSSSSSSSSS
1f3b430d-9e62-4d6a-90fd-87823eca9544	Beijing_East_Asia		SSSSSSSSSSS
9fbeaa55-42d3-4a38-9c8d-3b34a4bf0f07	Beijing_East_Asia		SSSSSSSSRSS
1c2021b8-cbfa-4c6b-abca-daddaf7f538a	Beijing_East_Asia		SSSSSSSSRSS
3fb7cb91-67d4-47cc-ad5f-7f572ef6d46c	European_American		SSSSSSSSSSS
a8bc8e3c-3677-4fdf-9ecc-7bae680f99f6	Beijing_East_Asia		SSRSSRSSSSS
5823cd50-61e2-44f4-bc4f-6e7e701ddde3	Beijing_East_Asia		SSSSSSSSSSS
9fea2f75-cb6c-488f-8c9a-e128ec203943	European_American		SSRSSSSSSSS
bb764167-909a-4768-964f-00c115d5dd4c	European_American		SSSSSSSSSSS
05644057-e35d-42f0-877f-d893f0e8742b	East_Africa_Indian_ocean		SSSSSSSSSSS
e5fa51b5-3fbe-4c25-8c57-3d2313c4f514	Beijing_East_Asia		SSSSSSSSSSS
eefd53be-33b6-4b68-8e60-4a5e4c52a788	Beijing_East_Asia		SSSSSSSSSSS
a4b12857-36ca-4c03-8991-ce5440c36f17	Beijing_East_Asia		SSSSSSSSSSS
184f7065-fdb9-495c-a53c-35d16a0af469	Beijing_East_Asia		SSSSSSSSSSS
2d81651e-df9d-4c3e-ba9e-de219b66c40a	Beijing_East_Asia		SSSSSRSSSSS
51b4fcbb-1853-4792-ac93-fba1acd6de09	Beijing_East_Asia		SSSSSSSSSSS
675b53b3-6fe4-4b70-9ca7-f50a1c60f802	Beijing_East_Asia		SSSSSSSSSSS
215751ea-f755-4bb1-a9a2-eaa18d5f4bd7	European_American		SSSSSSSSSSS
e015cb19-0b2e-48e9-b084-fa5f5313a4b8	Beijing_East_Asia		SSSSSSSSSSS
628c6015-c0aa-4b11-8f8d-2f77a8f193d0	Beijing_East_Asia		SSSSSSSSSSS
dbcb8b35-6cfa-46a7-bfd0-99dd4962dda3	East_Africa_Indian_ocean		SSSSSSSSSSS
5120645c-3e84-4e2e-98ae-9ed219e4bda6	Beijing_East_Asia		SSSSSSSSRSS
5139b32d-835c-4b9e-8cd7-e20e94fa7b8e	Beijing_East_Asia		SSSSSSSSSSS
0de34ada-ec2a-443e-abd5-1a1f7be824bb	Beijing_East_Asia		SSSSSSSSRSS
cf385b01-9a43-4cfc-ba7c-1bb61a490c60	Beijing_East_Asia		SSSSSSSSSSS
d682df0b-614b-46b2-ad98-09ec6b041386	Beijing_East_Asia		SSSSSSSSSSS
3f0daf6e-cea6-4756-bf25-9fc486caaa01	Beijing_East_Asia		SSSSSSSSSSS
5b1e8c07-1ad5-4167-bf70-6cbd388d0836	Beijing_East_Asia		SSSSSSSSSSS
97d03904-4710-4cba-bda7-366dbbe2e791	European_American		SSSSSSSSSSS
5b005bf6-2421-402b-82fd-114201f630f7	European_American		SSSSSSSSSSS
c29aaebf-f7ce-4880-b78f-c699e7c82539	European_American		SSSSSSSSSSS
2071c44b-77e1-471e-bce2-5f28ccb0ee67	Beijing_East_Asia		SSSSSSSSSSS
88290d21-452d-45bc-8ab1-d48b74789b69	European_American		SSSSSSSSSSS
a46851f4-7dda-4fe8-b2cc-2471c8140c5b	Beijing_East_Asia		SSSSSSSSSSS
e11b0359-a649-4e6f-8378-3ffc7ea25b56	European_American		SSSSSSSSSSS
ca25985c-e9ef-4129-bd12-1b8f3c117a24	European_American		SSSSSSSSSSS
d470d83d-52c9-4125-b81e-8ba44c26b0b8	East_Africa_Indian_ocean		SSSSSSSSSSS
38459a4a-9163-41ef-86b5-193196b16060	Beijing_East_Asia		SSSSSSSSSSS
a5254aba-d295-4180-b942-626dc39c583e	European_American		SSSSSSSSSSS
2210a19f-2532-4af8-882a-ac25861d9871	European_American		SSSSSSSSSSS
279e715e-362b-4354-be90-6dceba381b48	Beijing_East_Asia		SSSSSSSSRSS
60a1c3af-4e2a-4481-9a31-d9595016bcf2	East_Africa_Indian_ocean		SSSSSSSSSSS
f4f6a28e-bff2-4b9c-bd91-726c33502bf9	Beijing_East_Asia		SSSSSSSSSSS
5af6db50-c16c-4702-ab4a-1ff525c8e09a	European_American		SSSSSSSSSSS
e2e6ca5b-22eb-47a7-9a91-a0ce0b54ed69	Beijing_East_Asia		SSSSSSSSSSS
7e5ed8f4-aa24-4d09-a5b0-6bed53531165	Beijing_East_Asia		SSSSSSSSSSS
95a0ce3f-99d7-4ea4-ba7b-72df5ad1dbda	Beijing_East_Asia		SSSSSSSSSSS
c5fcf54e-9f65-4f16-95f2-83d464316a7b	Beijing_East_Asia		SSSSSSSSRSS
1090b4c5-566e-4f4e-885a-b20458477762	Beijing_East_Asia		SSSSSSSSSSS
51ed65f0-c20c-449b-a6ba-f063feb8ce2b	European_American		SSSSSSSSSSS
ba387dc7-00b3-4f6e-b686-5bf1b587f3e1	Beijing_East_Asia		SSSSSSSSSSS
110e4b78-4f55-4c2a-9e6c-0faa437fda0c	Beijing_East_Asia		SSSSSSSSRSS
1886870e-4e9c-4e06-a995-e4c7fbab9e40	Beijing_East_Asia		SSSSSSSSSSS
1556adc3-6e2b-45e7-97a9-dd35876b121e	Beijing_East_Asia		SSSSSSSSRSS
f93a1f06-cb51-4016-8a9f-4c49e21d7bdc	Beijing_East_Asia		SSSSSSSSSSS
cdd196ea-b7f3-445f-b881-297d1cdcdc40	Beijing_East_Asia		SSSSSSSSSSS
73a646f6-4dfe-4204-9d48-78f03b4582e9	European_American		RRSSSSRSSSS
b5d128cc-7263-4b97-a658-151b4bad47ea	Beijing_East_Asia		SSSSSSSSSSS
20fb130c-d8cf-41da-b591-93b512331eb2	Beijing_East_Asia		SSSSSSSSSSS
93d362d9-244c-4c90-88e3-bb46abced86e	European_American		SSSSSSSSSSS
bf6cb403-a4e7-4e26-a5cb-0ba36e38e1a5	Beijing_East_Asia		SSSSSRSSSSS
3dd0bfd3-d8f8-495a-b008-c730e5a06de1	Beijing_East_Asia		SSSSSSSSSSS
1151a978-e875-4fb4-ac52-da9e9c16fb81	Beijing_East_Asia		SSSSSSSSRSS
7451ae0a-27d9-4902-acfc-042a9baef46a	Beijing_East_Asia		SSSSSSSSSSS
3f4f9470-b92f-4b1f-9564-1569958a4967	Beijing_East_Asia		SSSSSSSSSSS
7682fbff-a2e1-4255-b0fb-236e443523ce	Beijing_East_Asia		SSSSSSSSSSS
bef8b1c0-85b6-432f-ac8a-d98de8896a1d	Beijing_East_Asia		SSSSSSSSSSS
6dfa21f8-d171-49a5-97d9-f0e371908c2f	Beijing_East_Asia		SSSSSSSSSSS
f51b9a04-86cb-4fa7-a7b3-ff7e4b56acc3	Beijing_East_Asia		SSSSSSSSSSS
203f38a9-797e-4c76-9cc2-7cf676dc525c	Beijing_East_Asia		SSSSSSSSSSS
93520c62-7ac3-43d3-a228-7a58e507197f	Beijing_East_Asia		SSSSSSSSSSS
6907a914-4111-4af0-a82c-1393a7f5fdac	Beijing_East_Asia		SSSSSSSSSSS
613f39c0-9feb-4100-a977-502514f9ff58	European_American		SSSSSSSSSSS
6fdd72a3-83e6-4204-80d9-61febe73a1d6	East_Africa_Indian_ocean		SSSSSSSSSSS
c0b56888-4487-4a30-8589-71647c050aa6	East_Africa_Indian_ocean		SSRSSRSSSSS
9a55decb-f602-474d-8498-526a12fae500	European_American		SSSSSSSSSSS
7a43d7fe-5d1d-48a2-9a08-1d701fe6fc64	East_Africa_Indian_ocean		SSRSSSSSSSS
0d6971fe-fd40-415c-81c3-de232b01d687	Beijing_East_Asia		rrSSSSrSSSS
9d8c9a63-285b-4690-beed-9b9f4898cf39	Beijing_East_Asia		SSSSSRSSSSS
2698bcb9-000e-49f9-8d86-d0bb0ac5ac41	European_American		SSSSSSSSSSS
b9a9dc71-68df-4a07-9114-e6c7bb500413	Beijing_East_Asia		SSSSSSSSSSS
7c7eaabf-6d06-49f7-bded-e845e6a082b4	East_Africa_Indian_ocean		SSSSSSSSSSS
d3c8985a-454d-4d4f-923c-e1fe587a5405	Beijing_East_Asia		SSRSSSSSSSS
9c8c4372-12cf-4d7c-aa82-cf6fc08c2a04	Beijing_East_Asia		SSrSSSSSSSS
c1f28118-1a58-4a6d-8c3a-6c5dc8f0a727	Beijing_East_Asia		SSSSSRSSSSS
64a0f476-65c2-4e70-9085-62c87401da9e	European_American		SSSSSSSSSSS
8bacef5d-48db-4e1d-9036-746a24305ee7	Beijing_East_Asia		SSSSSSSSSSS
6aa8c731-f267-4810-8821-d7744aadd6d7	Beijing_East_Asia		SSSSSSSSSSS
4cb04b87-bbf9-4a6e-8857-5151380821ba	Beijing_East_Asia		SSSSSSSSSSS
f693e430-7578-43ca-a938-988e31402a35	Beijing_East_Asia		SSSSSSSSSSS
6986acbf-3b01-41d2-8c61-f5cb0057510a	Beijing_East_Asia		SSSSSSSSSSS
e8f44b5c-15e8-41f6-8013-101673733a2f	Beijing_East_Asia		SSSSSSSSSSS
7deb5ebf-ab46-4b01-8ab4-e3264b247bff	Beijing_East_Asia		SSSSSSSSSSS
d17c89fb-fa4f-41ac-864e-0e03ca5e2267	Beijing_East_Asia		SSSSSSSSSSS
