uuid	lineage	susceptibility	genotype
638e6441-490a-4fd3-b7ca-0d93a4d7949e	398	RSSSRSSSRSRS	MSSA:PVL-
eca346a0-7d8e-4863-a793-660908ebde27	398	RSSSRSSSRRRS	MRSA:PVL-
2b9864cf-21df-4ba6-8848-84fd859b6f83	398	RSSSSSSSRrRS	MSSA:PVL-
dd8489ad-43de-48e9-bd2a-5e2be7f88510	398	SSSSRSRRRRSS	MRSA:PVL-
fb1e66d2-bb59-423f-a05f-ad70642250d2	398	RSSSRSRRRRRS	MRSA:PVL-
1797fd0d-748d-47b9-86ff-58e7a01be263	398	SSSSRSRRRRSS	MRSA:PVL-
df02df7e-485e-4279-ad5a-8a1c8fbfafb9	398	SSSSRSSSRRSS	MRSA:PVL-
64aa41cd-8a98-40ba-97a5-64bd3a04ed6c	398	SSSSRSSSRRSS	MRSA:PVL-
69054879-e32f-40e4-9e2f-52bfcb52ed01	398	RSSSRSSSRSRS	MSSA:PVL-
140e3ba5-ccc9-4fb5-a9fa-6cba635697cb	398	RSSSRSSRRRRS	MRSA:PVL-
4ca1585f-78ad-48cc-a696-293be5581267	239	RSRSRSRRRRRS	MRSA:PVL*
f406136d-0c81-4d5c-963c-6955584105a6	398	SSSSRSSSRRSS	MRSA:PVL-
10e119af-c909-4036-98d9-fbcba7094c96	398	RSSSSSRSRRRS	MRSA:PVL+
3dfbdf11-d0a8-49ea-8ec8-65efcb551347	753	RSSSRSSSRRRS	MRSA:PVL-
b306d2d5-884b-4b48-8bfb-cc209bcf5f59	398	SSSSRSSSRRSS	MRSA:PVL-
fc13812d-f31e-44b8-a7bc-69a5070a35bc	9	SSRSSSSSRRSS	MRSA:PVL-
e78b0298-8384-4502-99d1-df438b3c79f4	398	RSRSRSSSRRRS	MRSA:PVL-
cc01f200-d8e9-43b0-8899-15661bf99aa3	239	RSRSRSRRRRRS	MRSA:PVL*
6687ee1b-1ea2-4f15-b18b-d3b219865c68	239	RSRSRSRRRRRS	MRSA:PVL*
ee8fdac4-2dc6-40a6-85db-ad17079fe447	2272	SSSSSSSSSSSS	MSSA:PVL-
9a6a00cd-54a9-46ef-8428-211fc569a5fd	239	RSRSRSRRRRRS	MRSA:PVL*
b59d4318-4cd1-425a-8695-00e559436c6c	8	SRRSSSSSRRRS	MRSA:PVL+
6c90904b-68b2-42af-a9cd-5f2a32166073	8	SSSSSSSSRRSS	MRSA:PVL*
429ee6a9-1ac7-4f06-9c4f-129fc880bde1	8	SSSSSSSSRRSS	MRSA:PVL*
24ac0156-6b66-4209-9c66-8a50bb970d6f	398	RSSSRSSSRRRS	MRSA:PVL+
fdc818e3-b5cd-4b93-8b71-8c6779d36c45	8	SSSSSSSSRRSS	MRSA:PVL*
4cba8932-a95d-4877-a717-9ea5c1579049	398	RSSSRSSSRRRS	MRSA:PVL-
90428825-3335-414c-a90d-fdf12c471cc6	8	SSSSSSSSRRSS	MRSA:PVL*
07f4a950-a3d3-4698-869f-3b15fb0780a2	398	SSSSRSrSRRSS	MRSA:PVL-
edf9595d-5ccd-48b4-b78e-6782eba50fa7	239	RSRSRSRRRRRS	MRSA:PVL*
7fe1fade-1c62-436d-bb0f-09619286eec6	239	RSRSRSRRRRRS	MRSA:PVL*
39ec654e-8008-4163-ada5-fbe2ee808ef6	239	RSRSRSRRRRRS	MRSA:PVL*
ed4fd4d1-912e-4c12-a2fa-9c859cfd5cce	239	RSRSRSRRRRRS	MRSA:PVL*
9fc33406-aa0f-4616-8be2-a703d4f9087a	239	RRRSRSRRRRRS	MRSA:PVL*
671477be-b503-4a68-a16c-63f57dbd8f23	239	RSRSRSRRRRRS	MRSA:PVL*
c27b12ff-e75c-40b2-ab0a-5e04b58567f8	239	RRRSRSRRRRRS	MRSA:PVL*
04144911-1ce3-46ab-b1b8-3da504669c2a	239	RRRSRSRRRRRS	MRSA:PVL*
706d5e09-bb2c-44c7-96b8-490c8e4a8b2a	239	RRRSRSRRRRRS	MRSA:PVL*
37dce2f1-9932-40a0-98d3-64c552beada3	239	RRRSRSRRRRRS	MRSA:PVL*
0c87bc6c-84f1-408d-8252-8c921db8f4cd	398	RSSSRSSRRRRS	MRSA:PVL-
35adc259-933b-44e1-8cce-0168fe190b9d	398	SSSSRSRRRRSS	MRSA:PVL-
0c049779-4918-41be-9565-25c89654f3ff	239	RSRSRSRRRRRS	MRSA:PVL*
e4900f91-632a-418a-a30c-2f4df494bcf6	8	SSRSSSSSRRSS	MRSA:PVL+
8d1e4a61-d8a2-4015-8f68-477d82d23dea	22	RSRSRSSSRRRS	MRSA:PVL-
5492b8a0-87c5-42b7-95c5-40a7ca1160eb	22	RSRSSSSSRRRS	MRSA:PVL-
3df69f48-c674-4a9b-b843-a86982c83992	22	RSRSSSSSRRRS	MRSA:PVL-
65af3546-deaa-4a47-b710-c726b226262f	398	SSSSRSSSRRSS	MRSA:PVL-
05db71b8-e762-4165-ad5f-f146cbdc1ae9	239	RRRSRSRRRRRS	MRSA:PVL*
