uuid	lineage	genotype	susceptibility
ed27a11b-c549-4a0f-953f-e12c0709ebf5	16	KL51-O3b	
b068c964-1f15-45a9-aaf6-7c9445cb4c2a	11	KL15-O4	
1d099bcc-5e86-493a-8953-f2f78e9d5779	231	KL51-O1v2	
05c1c75c-b5bb-43c9-abea-dab351cd44ab	231	KL51-O1v2	
29595cf0-a39e-4831-9802-d457f82ca5a2	231	KL51-O1v2	
7878f82e-fa5d-4efa-9286-cb6020e7f373	11	KL15-O4	
31ae66f2-e2e0-4d3e-bada-0445e87e9324	231	KL51-O1v2	
5ff74ffb-b380-4e6a-af70-a210d6542244	147	KL64-O2v1	
0e6340cd-386b-4068-b96a-d73d7b810ec5	16	KL51-O3b	
8a044994-2b8e-40ea-89fe-584e567fb854	16	KL51-O3b	
5d7ddd63-ef50-4606-a885-425d57ab5797	231	KL51-O1/O2v2	
779afd78-28d3-4517-b512-e34b8cd0abba	307	KL102-O2v2	
2bb1fa6c-154b-46b4-bbcb-cd7ab23fc596	147	KL10-O3/O3a	
8ba07075-bc5f-410e-a106-83384e5e4602	11	KL47-OL101	
f0d9e418-df84-42b4-9466-7212757c3a3c	394	KL3-O2v2	
17a423d1-be9b-440d-a3e2-51dc74bcc736	709	KL9-O1v2	
0f05a181-d227-4f8a-980d-4c2dbd34a86d	37	KL118-OL101	
5f2e6b6d-4160-481b-863c-1084746e29fb	1245	KL3-O1v2	
218418ec-73e6-4509-9402-d4cc553a4b73	17	KL25-O5	
e46b53c5-8380-4d6c-98b7-809b8753bd08	45	KL24-O2v1	
de5bf5e3-7d70-4059-b9ea-04915d90f647	36	KL27-O2v2	
b88ab6b1-cdea-4bf4-8d03-2221509bbb45	294	KL30-O1v1	
97a7db79-201d-40e4-98cf-f0dc3c94ab22	20	KL28-O2v2	
499754c0-6b78-4f6a-9d06-1b0f13805958	290	KL21-O1v1	
5f5fcee0-e516-4daa-9703-19e6c7d759d6	20	KL28-O1v2	
c5feb530-6a8e-44ba-b76b-a08a76eb1f78	310	KL1-O1v1	
dd2a6f2c-b2c4-4c2b-89bb-f240c6e84d14	43	KL30-O1v1	
cf65f846-1184-44b5-a4b4-ac250201c8fc	1779	KL38-O3b	
585a18aa-b6d9-41e7-9216-e4bfd0282a94	2120	KL119-O4	
a062c612-5570-47fe-b84d-c9caf242907c	14	KL16-O1v1	
70d5815a-00bf-447e-bb49-be7730220175	2123	KL28-O2v1	
9ed13a7a-52a5-4ee7-8189-e96c9c975068	48	KL124-O1v1	
82dfbb4d-2109-42cc-b684-76d5879b7927	2121	KL113-O1v2	
213b16b5-96ee-4661-bc80-03f0b0a81f09	1777	KL111-O3b	
